Claim,Evidence,label
We should further work/exploit nuclear power,"a 2001 survey by the European Commission found that ""only 10.1 percent of Europeans trusted the nuclear industry",1
Sexuality/Sex education should be mandatory,"Virginity pledges and sexual abstinence education programs are often promoted in lieu of contraceptives and safe-sex education programs. This may entail exposing some teenagers to increased risk of sexually transmitted infections, because about 60 percent of teenagers who pledge virginity until marriage do engage in pre-marital sex and are then one-third less likely to use contraceptives than their peers who have received more conventional sex education [REF",1
We should ostracise/ban trans fats usage in food,"The former federal assistant health minister, Christopher Pyne, asked fast food outlets to reduce their trans fat usage.",1
The complimentary/free market should be protected,"The existence of monopoly and the potential for cartels, which would later form the core of competition law policy, could distort the benefits of free markets to the advantage of businesses at the expense of consumer sovereignty.",1
We should abolish capital punishment,Biden opposes capital punishment and supports the continuation of the war on drugs.,1
We should ostracise/ban partial birth abortions,The Court deemed abortion a fundamental right under the United States Constitution,1
We should finish/end daylight saving times,Changes to DST rules cause problems in existing computer installations.,1
We should press/fight global warming,"PSR presses for policies to curb global warming, generate what they consider to be a sustainable energy future, minimize toxic pollution of air, food and drinking water, and prevent human exposure to toxic substances.",1
We should farm/raise the retirement age,"Many Japanese companies raised the retirement age they had set, partly in response to this legislation. And despite mandatory retirement policies, many Japanese companies allow their employees to continue working beyond the age of 60, although generally at reduced wages.",1
We should borrow/adopt direct democracy,The only form of democracy considered acceptable to many anarchists is direct democracy.,1
We should further overwork/exploit wind power,Wind power output reduces spot market prices in general via the merit order effect; in 2008 this caused a net reduction of pre-tax electricity prices (balancing the increase from the feed-in law) [REF].,1
We should vacate/abandon television,"The article states that television can help young people discover where they fit into society, develop closer relationships with peers and family, and teach them to understand complex social aspects of communication [REF].",1
We should further work/exploit unconventional oil,Total crude oil production in Canada was projected to increase by an average of 8.6 percent per year from 2008 to 2011 as a result of new non-conventional oil projects [REF].,1
their pedagogy/teachings are outdated in comparison with modern Western morals,"Homosexuality is illegal in most Muslim countries, and in many of these countries carries the death penalty. In July 2005, two Iranian men, aged sixteen and eighteen, were publicly hanged for homosexuality, causing an international outcry. Human rights organisations estimate that hundreds of people have been executed for homosexuality by Iranian authorities since the 1979 revolution [REF",1
We should abolish intellectual property rights,"""If some intellectual property is desirable because it encourages innovation, they reason, more is better.",1
